Search_Parm,Resource,Search_Pram_Type,Expression
patient,MedicationRequest,reference,MedicationRequest.subject.where(resolve() is Patient)
patient,MedicationStatement,reference,MedicationStatement.subject.where(resolve() is Patient)
patient,NutritionOrder,reference,NutritionOrder.patient
patient,Observation,reference,Observation.subject.where(resolve() is Patient)
patient,Procedure,reference,Procedure.subject.where(resolve() is Patient)
patient,RiskAssessment,reference,RiskAssessment.subject.where(resolve() is Patient)
patient,ServiceRequest,reference,ServiceRequest.subject.where(resolve() is Patient)
patient,SupplyDelivery,reference,SupplyDelivery.patient
patient,VisionPrescription,reference,VisionPrescription.patient
recorder,AllergyIntolerance,reference,AllergyIntolerance.recorder
route,AllergyIntolerance,token,AllergyIntolerance.reaction.exposureRoute
severity,AllergyIntolerance,token,AllergyIntolerance.reaction.severity
type,AllergyIntolerance,token,AllergyIntolerance.type
type,Composition,token,Composition.type
type,DocumentManifest,token,DocumentManifest.type
type,DocumentReference,token,DocumentReference.type
type,Encounter,token,Encounter.type
type,EpisodeOfCare,token,EpisodeOfCare.type
verification-status,AllergyIntolerance,token,AllergyIntolerance.verificationStatus
actor,Appointment,reference,Appointment.participant.actor
appointment-type,Appointment,token,Appointment.appointmentType
based-on,Appointment,reference,Appointment.basedOn
date,Appointment,date,Appointment.start
identifier,Appointment,token,Appointment.identifier
location,Appointment,reference,Appointment.participant.actor.where(resolve() is Location)
part-status,Appointment,token,Appointment.participant.status
patient,Appointment,reference,Appointment.participant.actor.where(resolve() is Patient)
practitioner,Appointment,reference,Appointment.participant.actor.where(resolve() is Practitioner)
reason-code,Appointment,token,Appointment.reasonCode
reason-reference,Appointment,reference,Appointment.reasonReference
service-category,Appointment,token,Appointment.serviceCategory
service-type,Appointment,token,Appointment.serviceType
slot,Appointment,reference,Appointment.slot
specialty,Appointment,token,Appointment.specialty
status,Appointment,token,Appointment.status
supporting-info,Appointment,reference,Appointment.supportingInformation
actor,AppointmentResponse,reference,AppointmentResponse.actor
appointment,AppointmentResponse,reference,AppointmentResponse.appointment
identifier,AppointmentResponse,token,AppointmentResponse.identifier
location,AppointmentResponse,reference,AppointmentResponse.actor.where(resolve() is Location)
part-status,AppointmentResponse,token,AppointmentResponse.participantStatus
patient,AppointmentResponse,reference,AppointmentResponse.actor.where(resolve() is Patient)
practitioner,AppointmentResponse,reference,AppointmentResponse.actor.where(resolve() is Practitioner)
action,AuditEvent,token,AuditEvent.action
address,AuditEvent,string,AuditEvent.agent.network.address
agent,AuditEvent,reference,AuditEvent.agent.who
agent-name,AuditEvent,string,AuditEvent.agent.name
agent-role,AuditEvent,token,AuditEvent.agent.role
altid,AuditEvent,token,AuditEvent.agent.altId
date,AuditEvent,date,AuditEvent.recorded
entity,AuditEvent,reference,AuditEvent.entity.what
entity-name,AuditEvent,string,AuditEvent.entity.name
entity-role,AuditEvent,token,AuditEvent.entity.role
entity-type,AuditEvent,token,AuditEvent.entity.type
outcome,AuditEvent,token,AuditEvent.outcome
patient,AuditEvent,reference,AuditEvent.agent.who.where(resolve() is Patient)
policy,AuditEvent,uri,AuditEvent.agent.policy
site,AuditEvent,token,AuditEvent.source.site
source,AuditEvent,reference,AuditEvent.source.observer
subtype,AuditEvent,token,AuditEvent.subtype
type,AuditEvent,token,AuditEvent.type
author,Basic,reference,Basic.author
code,Basic,token,Basic.code
created,Basic,date,Basic.created
identifier,Basic,token,Basic.identifier
patient,Basic,reference,Basic.subject.where(resolve() is Patient)
subject,Basic,reference,Basic.subject
identifier,BodyStructure,token,BodyStructure.identifier
location,BodyStructure,token,BodyStructure.location
morphology,BodyStructure,token,BodyStructure.morphology
patient,BodyStructure,reference,BodyStructure.patient
composition,Bundle,reference,Bundle.entry[0].resource
identifier,Bundle,token,Bundle.identifier
message,Bundle,reference,Bundle.entry[0].resource
timestamp,Bundle,date,Bundle.timestamp
type,Bundle,token,Bundle.type
context,CapabilityStatement,token,
context,CodeSystem,token,
context,CompartmentDefinition,token,
context,ConceptMap,token,
context,GraphDefinition,token,
context,ImplementationGuide,token,
context,MessageDefinition,token,
context,NamingSystem,token,
context,OperationDefinition,token,
context,SearchParameter,token,
context,StructureDefinition,token,
context,StructureMap,token,
context,TerminologyCapabilities,token,
context,ValueSet,token,
context-quantity,CapabilityStatement,quantity,
context-quantity,CodeSystem,quantity,
context-quantity,CompartmentDefinition,quantity,
context-quantity,ConceptMap,quantity,
context-quantity,GraphDefinition,quantity,
context-quantity,ImplementationGuide,quantity,
context-quantity,MessageDefinition,quantity,
context-quantity,NamingSystem,quantity,
context-quantity,OperationDefinition,quantity,
context-quantity,SearchParameter,quantity,
context-quantity,StructureDefinition,quantity,
context-quantity,StructureMap,quantity,
context-quantity,TerminologyCapabilities,quantity,
context-quantity,ValueSet,quantity,
context-type,CapabilityStatement,token,CapabilityStatement.useContext.code
context-type,CodeSystem,token,CodeSystem.useContext.code
context-type,CompartmentDefinition,token,CompartmentDefinition.useContext.code
context-type,ConceptMap,token,ConceptMap.useContext.code
context-type,GraphDefinition,token,GraphDefinition.useContext.code
context-type,ImplementationGuide,token,ImplementationGuide.useContext.code
context-type,MessageDefinition,token,MessageDefinition.useContext.code
context-type,NamingSystem,token,NamingSystem.useContext.code
context-type,OperationDefinition,token,OperationDefinition.useContext.code
context-type,SearchParameter,token,SearchParameter.useContext.code
context-type,StructureDefinition,token,StructureDefinition.useContext.code
context-type,StructureMap,token,StructureMap.useContext.code
context-type,TerminologyCapabilities,token,TerminologyCapabilities.useContext.code
context-type,ValueSet,token,ValueSet.useContext.code
date,CapabilityStatement,date,CapabilityStatement.date
date,CodeSystem,date,CodeSystem.date
date,CompartmentDefinition,date,CompartmentDefinition.date
date,ConceptMap,date,ConceptMap.date
date,GraphDefinition,date,GraphDefinition.date
date,ImplementationGuide,date,ImplementationGuide.date
date,MessageDefinition,date,MessageDefinition.date
date,NamingSystem,date,NamingSystem.date
date,OperationDefinition,date,OperationDefinition.date
date,SearchParameter,date,SearchParameter.date
date,StructureDefinition,date,StructureDefinition.date
date,StructureMap,date,StructureMap.date
date,TerminologyCapabilities,date,TerminologyCapabilities.date
date,ValueSet,date,ValueSet.date
description,CapabilityStatement,string,CapabilityStatement.description
description,CodeSystem,string,CodeSystem.description
description,CompartmentDefinition,string,CompartmentDefinition.description
description,ConceptMap,string,ConceptMap.description
description,GraphDefinition,string,GraphDefinition.description
description,ImplementationGuide,string,ImplementationGuide.description
description,MessageDefinition,string,MessageDefinition.description
description,NamingSystem,string,NamingSystem.description
description,OperationDefinition,string,OperationDefinition.description
description,SearchParameter,string,SearchParameter.description
description,StructureDefinition,string,StructureDefinition.description
description,StructureMap,string,StructureMap.description
description,TerminologyCapabilities,string,TerminologyCapabilities.description
description,ValueSet,string,ValueSet.description
fhirversion,CapabilityStatement,token,CapabilityStatement.version
format,CapabilityStatement,token,CapabilityStatement.format
guide,CapabilityStatement,reference,CapabilityStatement.implementationGuide
jurisdiction,CapabilityStatement,token,CapabilityStatement.jurisdiction
jurisdiction,CodeSystem,token,CodeSystem.jurisdiction
jurisdiction,ConceptMap,token,ConceptMap.jurisdiction
jurisdiction,GraphDefinition,token,GraphDefinition.jurisdiction
jurisdiction,ImplementationGuide,token,ImplementationGuide.jurisdiction
jurisdiction,MessageDefinition,token,MessageDefinition.jurisdiction
jurisdiction,NamingSystem,token,NamingSystem.jurisdiction
jurisdiction,OperationDefinition,token,OperationDefinition.jurisdiction
jurisdiction,SearchParameter,token,SearchParameter.jurisdiction
jurisdiction,StructureDefinition,token,StructureDefinition.jurisdiction
jurisdiction,StructureMap,token,StructureMap.jurisdiction
jurisdiction,TerminologyCapabilities,token,TerminologyCapabilities.jurisdiction
jurisdiction,ValueSet,token,ValueSet.jurisdiction
mode,CapabilityStatement,token,CapabilityStatement.rest.mode
name,CapabilityStatement,string,CapabilityStatement.name
name,CodeSystem,string,CodeSystem.name
name,CompartmentDefinition,string,CompartmentDefinition.name
name,ConceptMap,string,ConceptMap.name
name,GraphDefinition,string,GraphDefinition.name
name,ImplementationGuide,string,ImplementationGuide.name
name,MessageDefinition,string,MessageDefinition.name
name,NamingSystem,string,NamingSystem.name
name,OperationDefinition,string,OperationDefinition.name
name,SearchParameter,string,SearchParameter.name
name,StructureDefinition,string,StructureDefinition.name
name,StructureMap,string,StructureMap.name
name,TerminologyCapabilities,string,TerminologyCapabilities.name
name,ValueSet,string,ValueSet.name
publisher,CapabilityStatement,string,CapabilityStatement.publisher
publisher,CodeSystem,string,CodeSystem.publisher
publisher,CompartmentDefinition,string,CompartmentDefinition.publisher
publisher,ConceptMap,string,ConceptMap.publisher
publisher,GraphDefinition,string,GraphDefinition.publisher
publisher,ImplementationGuide,string,ImplementationGuide.publisher
publisher,MessageDefinition,string,MessageDefinition.publisher
publisher,NamingSystem,string,NamingSystem.publisher
publisher,OperationDefinition,string,OperationDefinition.publisher
publisher,SearchParameter,string,SearchParameter.publisher
publisher,StructureDefinition,string,StructureDefinition.publisher
publisher,StructureMap,string,StructureMap.publisher
publisher,TerminologyCapabilities,string,TerminologyCapabilities.publisher
publisher,ValueSet,string,ValueSet.publisher
resource,CapabilityStatement,token,CapabilityStatement.rest.resource.type
resource-profile,CapabilityStatement,reference,CapabilityStatement.rest.resource.profile
security-service,CapabilityStatement,token,CapabilityStatement.rest.security.service
